,CPI_YoY,Zscore,Inflation_Regime
1977-04-30,6.951871657754016,-0.10987370043922487,0
1977-05-31,6.725663716814156,-0.21435933862718423,0
1977-06-30,6.866197183098599,-0.1932761612984044,0
1977-07-31,6.8301225919439545,-0.23589555666290754,0
1977-08-31,6.620209059233462,-0.3468300730595375,0
1977-09-30,6.59722222222221,-0.38674840917417364,0
1977-10-31,6.390328151986191,-0.4991267339110229,0
1977-11-30,6.72413793103448,-0.39278367237683953,0
1977-12-31,6.70103092783505,-0.4362717978115857,0
1978-01-31,6.837606837606836,-0.4110125713836619,0
1978-02-28,6.429780033840937,-0.6209169035413651,0
1978-03-31,6.554621848739495,-0.5887892831644144,0
1978-04-30,6.499999999999995,-0.6309597937502699,0
1978-05-31,6.965174129353247,-0.43291706067406927,0
1978-06-30,7.413509060955525,-0.23863219043439718,0
1978-07-31,7.7049180327869,-0.11981497151949916,0
1978-08-31,7.843137254901955,-0.058769257057418915,0
1978-09-30,8.306188925081436,0.15078613572982857,0
1978-10-31,8.92857142857142,0.4329062571159412,0
1978-11-30,8.8852988691438,0.4072131276752275,0
1978-12-31,9.017713365539448,0.4661911691599121,0
1979-01-31,9.28,0.589772781263631,0
1979-02-28,9.85691573926868,0.8614887678734081,0
1979-03-31,10.094637223974768,0.9773612819163033,0
1979-04-30,10.485133020344284,1.1534664137227686,1
1979-05-31,10.852713178294572,1.322052306479831,1
1979-06-30,10.889570552147232,1.3385908866795893,1
1979-07-31,11.263318112633169,1.519506430245856,1
1979-08-31,11.818181818181817,1.751171283485292,1
1979-09-30,12.180451127819536,1.9103562547247532,1
1979-10-31,12.071535022354718,1.8598202901039518,1
1979-11-30,12.611275964391687,2.0918627866996924,1
1979-12-31,13.293943870014768,2.3591744411656386,1
1980-01-31,13.90922401171304,2.5342154678547337,1
1980-02-29,14.1823444283647,2.524013937845314,1
1980-03-31,14.756446991404015,2.58741301628051,1
1980-04-30,14.730878186968855,2.4276458793639097,1
1980-05-31,14.40559440559439,2.182305668314554,1
1980-06-30,14.384508990318135,2.066502425918696,1
1980-07-31,13.132694938440515,1.577868567800726,1
